Official Summoner Name,ids,Roles
Baldan,{},Top Laner
Forlin,{},Top Laner
Tay,"{'BR:': ['7ay', 'Esdeath', 'FPXzhaoTOP303485'], 'CN:': ['BR01']}",Top Laner
Disamis,{},Jungler
Ancrath,{},Jungler
Hauz,{},Mid Laner
Picknn,{},Mid Laner
Xoska,{},Mid Laner
Kojima,{},Bot Laner
Brance,{'None': ['LLL Brance']},Bot Laner
JoJo,"{'BR:': ['v J o J o'], 'EUW:': ['Aegis fangirlQAQ']}",Support
Kick,{},Support
Turtle,{},Coach
ONMETA,{},Coach
jUc,{},Coach
Fonix,{},Top Laner
Betão,{},Top Laner
Gru,{},Top Laner
Goot,{},Jungler
StineR,{},Jungler
Tutsz,{'None': ['Tutsz']},Mid Laner
Fuuu,{},Mid Laner
Ayu,{},Support
yazi,{},Bot Laner
Manel,{},Support
Shoiti,{},Support
zay,"{'None': ['little zay', 'zay', 'ZAYBAS']}",Support
sBs,{},Coach
Maestro,{},Coach
Strix,{},Jungler
furyz,{},Coach
Eradan,{},Top Laner
Zzk,{},Top Laner
Paclo,{},Top Laner
Tatu,{},Jungler
Yampi,{'None': ['CNB HyperX Yampi']},Jungler
NOsFerus,"{'None': ['Julius Kreuz', 'modo ben 10', 'NOsFerus1', 'OLHA O MAPA PFV']}",Mid Laner
Blacky,{},Mid Laner
Juzo,{},Bot Laner
NinjaKiwi,{},Bot Laner
Look,{},Support
Thominhas,{},Support
Nia,{'KR:': ['연애꽃1']},Support
Strazzi,{},Coach
Aoshi,{},Coach
Kuma,{},Coach
Khorn,{},Coach
SuperCleber,{},Top Laner
Lonely,{'KR:': ['FA Lonely']},Top Laner
Scary,{},Jungler
Samkz,"{'BR:': ['Samkz'], 'NA:': ['AK Samkz', 'Samkzlol', 'AK Samkz1', 'My Ðream CBLOL', 'My Dream CBLOL', 'Baby Halier'], 'LAN:': ['llaSamkz']}",Jungler
Dioge,{},Mid Laner
Krastyel,"{'None': ['Krastyel1', 'GFX Krastyel', 'EXP Krastyel', 'OVL Krastyel', 'TSW Krastyel', 'NAO DO ROAMING']}",Mid Laner
DOPPLER,{},Bot Laner
Scuro,{},Bot Laner
RAV3N,{},Bot Laner
Guigs,{},Support
RedBert,"{'BR:': ['RedBert', 'NimoTV RedBert'], 'CN:': ['BR05']}",Support
ti0ben,{},Coach
Medina,{},Coach
SkB,{},Top Laner
Lukshy,{},Top Laner
Kiari,{},Top Laner
accez,{},Jungler
Drakehero,{},Jungler
